satellite,storm_date,mean_drag_acc,log_drag,drag_tercile,method,window_min,r_native,sigma,beta,SD_pct_native,expl_var_pct,n_valid,r_matched
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,120.0,-0.221950615752494,0.146884477065618,-0.3076506878219447,109.16006408760845,-20.966013494554534,20962,0.8250984647735419
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,135.0,-0.3242998241808535,0.1275055164571163,-0.3312800340313555,113.11444071031792,-25.100427771683044,20932,0.872292079905275
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,150.0,-0.3213277796247877,0.1223233178075417,-0.3816149442385763,111.05635884476426,-21.927212727485035,20902,0.868625411659186
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,180.0,0.0785073761615288,0.1042157688731873,-0.3551467455326489,90.80087891549168,-1.0829888024742385,20842,0.8481819741532335
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,210.0,0.5355777608060092,0.0964226734094691,-0.311241857590006,74.26466140386904,19.072568661042546,20782,0.8795422043576655
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,240.0,0.5311368445941171,0.089346731690959,-0.3384460118529798,72.97768681096804,18.47653292420425,21120,0.8959825771816995
CHAMP,2001-04-18,1.220809661842759e-06,-5.913352042242741,high,POD,270.0,0.3102225333232087,0.0825782066514462,-0.3534804770331715,81.7330718415751,8.359704344478757,21000,0.8927017302001015
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,2.0,0.3344305956538743,1.139946478284468,-0.0732585913175635,212.90218901419084,-131.702697889937,9800,0.3346472739968982
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,3.0,0.4660102326380106,1.082425818024379,-0.1152374482161428,195.2796619426728,-60.11450709316206,10482,0.4654341715622145
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,5.0,0.5963342686775126,0.9830663144491116,-0.1302518905494288,167.51123017227715,-4.836377878060105,11050,0.5954277247997704
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,7.0,0.6664484309632993,0.9649600928462542,-0.1392306946394293,162.67606612160108,16.071387959067916,11512,0.664509513232938
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,10.0,0.7034548382783734,0.9180125887121252,-0.1340067157601761,150.45512794895976,25.651160966407616,11815,0.7005514019003697
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,15.0,0.7533987858199057,0.8526968919719072,-0.1422620940261825,134.07485719685664,40.69072027615969,12310,0.7487422452145592
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,20.0,0.7939661966630942,0.7785017423552645,-0.1347508887171505,116.9129170838926,51.89612863544396,12841,0.7871643154812876
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,30.0,0.8712694172359493,0.6153068073734924,-0.1090328188207649,84.01784969402985,73.96608334352483,13771,0.8688282618551253
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,45.0,0.8855569686108512,0.2586184685180783,-0.1280925741203196,47.71696405987156,74.46405860168642,14278,0.9522666509098764
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,60.0,0.6965524898259454,0.2298883683062189,-0.2291738455961893,62.96963357206056,45.039682040543795,14280,0.8929281930225964
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,75.0,0.5177632154253048,0.1737335076028915,-0.3591912808364098,79.51131037269201,23.667535429281607,14250,0.8538187559852526
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,90.0,0.3379395535717717,0.0935562212173511,-0.3929783001678505,96.14956883965444,10.570198404569895,14220,0.900263333709539
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,100.0,0.1641690087081511,0.0896782976802965,-0.3476034281787919,107.52424934486793,1.7893338073405096,14200,0.9084591856668748
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,120.0,-0.0792411251572644,0.104285734788528,-0.3287007675556841,124.60797089123874,-13.7415141244297,14160,0.920121719610534
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,135.0,-0.181402010272376,0.0688521414833089,-0.3839280536166519,129.03847902310525,-17.559404907103904,14130,0.957644203324836
CHAMP,2001-08-17,1.0207372381118723e-06,-5.991086041189183,mid,EDR,150.0,-0.1836427022533972,0.0714835560050114,-0.4205657775847765,127.25452563500076,-16.043660780664126,14100,0.9548260688267296
